rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user intent and delay the path to a single product or category, reducing click-through to a defined next step.","The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user intent and delay the path to a single product or category, reducing click-through to a defined next step.","h1: Wildly Comfortable. Super Natural.; cta: Shop Best Sellers; notes: Replace with one primary CTA that leads to a curated best-sellers or shop-all page, with secondary links to Men/Women in the nav.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN' (both uppercase, same visual weight).","Funnel-Path & Commerce Clarity, Nav & Distraction",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Vague hero copy,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, leaving them to infer the value proposition.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, leaving them to infer the value proposition.","h1: Shoes That Feel Like Nothing Else; cta: Shop Men's Shoes / Shop Women's Shoes; notes: Use a benefit-driven headline that speaks to comfort and natural materials, with CTAs that clearly direct to product categories.",H1: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN'.,Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_2_vague_hero_copy.html
3,No social proof on hero,HIGH,Homepage,Medium,2-5 days,5,10,no,trust,"The hero lacks any trust signals (review count, rating, or press logos), so first-time visitors may hesitate to click through due to uncertainty about quality and fit.","The hero lacks any trust signals (review count, rating, or press logos), so first-time visitors may hesitate to click through due to uncertainty about quality and fit.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Add a line under the CTAs: 'Rated 4.6/5 from 50,000+ reviews' or a press logo strip (e.g., 'As seen in Vogue, GQ, Forbes').","Hero H1: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' but no review stars, count, or press mentions in the body sample.",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_no_social_proof_on_hero.html
4,Free shipping threshold hidden,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,"The homepage hero promotes 'Wildly Comfortable. Super Natural.' without mentioning the $100 free shipping threshold, which is only disclosed in the top announcement bar and cart drawer, creating an expectation gap.","The homepage hero promotes 'Wildly Comfortable. Super Natural.' without mentioning the $100 free shipping threshold, which is only disclosed in the top announcement bar and cart drawer, creating an expectation gap.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100; cta: SHOP MEN / SHOP WOMEN; notes: Add a subheadline or badge clarifying free shipping threshold to set expectations early.,Hero H1: 'Wildly Comfortable. Super Natural.'; body_sample includes 'Free ground shipping on orders over $100' and cart drawer text 'Spend more to earn free shipping! Shipping $5.00'.,Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"The mega-menu presents 20+ items per category, overwhelming users and increasing cognitive load, which can lead to choice paralysis and reduced navigation efficiency.","The mega-menu presents 20+ items per category, overwhelming users and increasing cognitive load, which can lead to choice paralysis and reduced navigation efficiency.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Reduce menu items to top 5-7 per category, use 'Shop All' as a catch-all, and consider a 'Popular' section to guide users.","nav_items list contains 20 items including 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Path bypass via Get Notified,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,The 'Get Notified' CTA on a product page that has a size selector and price visible creates a bypass that may lead users to abandon the purchase path if the product is actually in stock or available for pre-order.,The 'Get Notified' CTA on a product page that has a size selector and price visible creates a bypass that may lead users to abandon the purchase path if the product is actually in stock or available for pre-order.,"h1: Anytime Ankle Sock; cta: Add to Cart; notes: If the product is in stock, replace 'Get Notified' with 'Add to Cart' to keep users on the purchase path. If out of stock, ensure 'Get Notified' is clearly secondary and not the only CTA.","CTAs: 'Get Notified', 'Learn More', 'Sign Up'. Direct signals: size_selector: true, n_prices: 42 (on homepage, but product page likely has price).",Funnel-Path & Commerce Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_6_path_bypass_via_get_notified.html
7,Out-of-stock notification form,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page for Anytime Ankle Sock shows a 'Get Notified' CTA, which is a lead capture form, but the form's field set is unknown and may be too long, causing drop-off.","The product page for Anytime Ankle Sock shows a 'Get Notified' CTA, which is a lead capture form, but the form's field set is unknown and may be too long, causing drop-off.",h1: Anytime Ankle Sock; cta: Notify Me When Available; notes: Ensure the form only asks for email (and optionally size) and include a trust message like 'We'll email you the moment it's back in stock. No spam.',The product page has a CTA 'Get Notified' and the body sample includes 'Get Notified' but no form details are visible in the crawl.,Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_out_of_stock_notification_form.html
8,No visible review count/rating,HIGH,Product Page,Low,0.5-2 days,4,10,no,trust,"The product page shows a 'Reviews' section heading but no aggregate rating or review count near the price, so buyers cannot quickly validate quality and may abandon.","The product page shows a 'Reviews' section heading but no aggregate rating or review count near the price, so buyers cannot quickly validate quality and may abandon.","h1: Anytime Ankle Sock; cta: Get Notified; notes: Add a star rating and review count (e.g., '★★★★★ 1,200+ reviews') directly under the product title or above the price.","H2 'Reviews for Anytime Ankle Sock' exists, but the body sample does not show a star rating or review count near the product title or price.",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_no_visible_review_count_rating.html
9,Single-field email capture,HIGH,Forms & Signup,Medium,2-5 days,3,10,no,conversion,"The homepage email signup form asks only for an email address, which is the minimum viable field set, but the lack of a trust layer (e.g., privacy note, incentive) may reduce opt-in rates.","The homepage email signup form asks only for an email address, which is the minimum viable field set, but the lack of a trust layer (e.g., privacy note, incentive) may reduce opt-in rates.","h1: Wildly Comfortable. Super Natural.; cta: Sign Up for 10% Off; notes: Add a privacy note ('We respect your inbox') and a clear incentive (e.g., 'Get 10% off your first order') to increase signup conversion.","The homepage has a form with 1 input, no labels, and submit button 'Sign Up'. The body sample shows 'Subscribe to our emails Sign Up'.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_single_field_email_capture.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_controls_without_accessible_names.html
